VASH1,
LAG3,
CDCA7L,
IL10,
GBP4,
CHDH,
HAVCR2,
SCD,
DGCR6,
CCR2,
LOXL1,
HHAT,
IL12RB2,
HLF,
IFNGR2,
CXCR3,
TBX21,
PACSIN1,
NCAPG,
HRH4,
GZMK,
MYBL2,
E2F1,
CDCA5,
TOP2A,
BIRC5,
FOXB1,
DTL,
CCR6,
MKI67,
GFOD1,
FOXM1,
AFAP1,
CCR4,
KIF5C,
COL5A1,
ENC1,
SKA3,
TTC24,
MCF2L2,
ASF1B,
PRR11,
PKMYT1,
CENPF,
KIF4A,
CST7,
ITM2C,
GPR55,
IFNG,
LMO4,
CDT1,
CDCA8,
CDCA2,
ESPL1,
CTSH,
CD40LG,
RRM2,
EPHB4,
DHFR,
HJURP,
KLRB1,
GZMA,
SLC7A8,
METTL7A,
KIAA1671,
ZBTB16,
SLC27A2,
TK1,
FRY,
MZB1,
TANC2,
SCRN1,
CDC45,
TYMS,
MYBL1,
E2F8,
MGAT4A,
C2CD4A,
CYTH3,
SEMA6C,
FLT4,
PDE4D,
KIF15,
VANGL1,
CDH4,
NR1D1,
RARG,
KIAA0101,
AMIGO2,
CENPU,
ZWINT,
DIAPH3,
LYAR,
BRCA1,
SKA1,
RBMS3,
IL15,
GTSE1,
ELOVL4,
CCSAP,
CCNB2,
CCDC112,
LIF,
MAP3K4,
TMEM117,
C1orf162,
TROAP,
MELK,
NIPAL4,
C2CD4B,
STIL,
DLGAP5,
GAS7,
AURKB,
KIF14,
APOBEC3B,
LTK,
FHIT,
POLQ,
CDC25A,
RAD54B,
MYOF,
NUGGC,
MCM10,
CENPW,
E2F7,
ZNF516,
PCDH1,
XRCC2,
F2R,
ECT2,
ABCA1,
P2RY1,
DLGAP1,
CADM1,
AEBP1,
ALOX5AP,
CLIP2,
ADTRP,
B3GAT1,
LAT2,
SNED1,
DOCK6,
PTPRM,
PERP,
AUTS2,
ZC3H12D,
BTBD11,
TNFSF11,
CNTNAP1,
RIPK2,
HMCN1,
MAF,
GATA3,
TGFBR3,
FAM174B,
FURIN,
SOWAHC,
CXorf57,
CDON,
SORL1,
CREG2,
IL1R2,
NPAS2,
COL5A3,
GPR25,
TIAM2,
IGF1R,
SRGAP3,
CCR10,
PLAC8,
ZNF365,
SYT4,
IL1R1,
IKZF3,
HOMER3,
CEBPD,
RASGRF2,
TANC1,
TNFRSF11A,
ARHGAP21,
IL23R,
FRMD4A,
GIMAP5,
DAPK1,
HLA-DRB1,
TP53I11,
CRIM1,
KIF26A,
FES,
